0.0	0.0
0.010912	0.014345
0.114119	0.033386
0.347161	0.031245
0.540485	0.028082
0.753753	0.024918
0.987035	0.021339
1.186752	0.019709
1.40652	0.01744
1.605684	0.019133
1.817901	0.022295
2.044078	0.021464
2.243359	0.022454
2.48929	0.022773
2.674319	0.029514
2.899349	0.035583
3.111874	0.036893
3.325015	0.034496
3.545048	0.03063
3.751259	0.029926
3.971154	0.02689
4.176967	0.028583
4.389173	0.031809
4.602101	0.030691
4.814419	0.033246
5.040946	0.030306
5.254188	0.027302
5.480901	0.023244
5.680799	0.020528
5.893934	0.018163
6.106772	0.017588
6.319053	0.020367
6.558744	0.018225
6.745223	0.016244
6.957885	0.016723
7.190573	0.016722
7.389689	0.018702
7.622435	0.01835
7.822146	0.016752
8.035292	0.014324
8.242162	0.009659
8.462084	0.006463
8.675208	0.004162
8.888047	0.003587
9.114059	0.003746
9.319946	0.004991
9.525844	0.006173
9.745357	0.005437
9.964875	0.00467
10.217687	0.003583
10.417282	0.002688
10.610287	0.001441
10.80327	0.000323
10.9	0.0
